Date,Type,Details,Workout
2024-01-10,gym,['weights'],"Workout for 2024-01-10:

50 Push ups

Hold plank as long as possible
Clean for max set of 15 reps
Back Squat for max set of 10 reps (if time persists)

Break"
2024-01-09,gym/run,"['cf', 'run']","Workout for 2024-01-09:

Break

Hang pull ups
Tuesday 2024-01-09 Crossfit Workout

Long distance run or Treadmill if weather is unsuitable

50 Sit ups"
2024-01-08,off,[],"Workout for 2024-01-08:

50 Sit ups

Off Day

Break"
2024-01-07,run,['machine'],"Workout for 2024-01-07:

50 Sit ups

Endurance Jacob's Ladder

50 Sit ups"
2024-01-06,gym,['weights'],"Workout for 2024-01-06:

50 Push ups

Front Squat for max set of 5 reps
Deadlift for max set of 10 reps

50 Push ups"
2024-01-05,run,['run'],"Workout for 2024-01-05:

50 Sit ups

Long distance run or Treadmill if weather is unsuitable

50 Sit ups"
2024-01-04,off,[],"Workout for 2024-01-04:

Break

Off Day

50 Sit ups"
2024-01-03,gym,['cf'],"Workout for 2024-01-03:

50 Push ups

Wednesday 2024-01-03 Crossfit Workout

Break"
2024-01-02,run/gym,"['weights', 'run']","Workout for 2024-01-02:

50 Squats

Long distance run or Treadmill if weather is unsuitable

Hang pull ups
Dumbbell Overhead Press for max set of 20 reps
Front Squat for max set of 5 reps (if time persists)

Break"
2024-01-01,off,[],"Workout for 2024-01-01:

Break

Off Day

Break"
2023-12-31,off,[],"Workout for 2023-12-31:

Break

Off Day

50 Squats"
2023-12-30,run,['run'],"Workout for 2023-12-30:

50 Push ups

Long distance run or Jacob's Ladder if weather is unsuitable

Break"
2023-12-29,gym,['cf'],"Workout for 2023-12-29:

Break

Quinn's workout

50 Push ups"
2023-12-28,run,['run'],"Workout for 2023-12-28:

50 Push ups

Long distance run or Treadmill if weather is unsuitable

50 Sit ups"
2023-12-27,off,[],"Workout for 2023-12-27:

50 Push ups

Off Day

50 Squats"
2023-12-26,run/gym,"['machine', 'weights']","Workout for 2023-12-26:

Break

Endurance Treadmill

Clean for max set of 15 reps
Front Squat for max set of 15 reps

50 Push ups"
2023-12-25,gym,['cf'],"Workout for 2023-12-25:

50 Sit ups

Quinn's workout

50 Sit ups"
2023-12-24,off,[],"Workout for 2023-12-24:

50 Push ups

Off Day

50 Sit ups"
2023-12-23,run,['run'],"Workout for 2023-12-23:

50 Push ups

Long distance run or Stairmaster if weather is unsuitable

50 Push ups"
2023-12-22,gym,['weights'],"Workout for 2023-12-22:

Break

Deadlift for max set of 15 reps
Bench for max set of 5 reps

50 Sit ups"
2023-12-21,run,['run'],"Workout for 2023-12-21:

Break

Long distance run or Bike if weather is unsuitable

50 Sit ups"
2023-12-20,off,[],"Workout for 2023-12-20:

50 Push ups

Off Day

50 Push ups"
2023-12-19,gym/run,"['abs', 'weights', 'run']","Workout for 2023-12-19:

50 Squats

Ab workout
Deadlift for max set of 1 reps
Clean for max set of 15 reps (if time persists)

Long distance run or Bike if weather is unsuitable

50 Push ups"
2023-12-18,gym,['weights'],"Workout for 2023-12-18:

50 Squats

Overhead Squat for max set of 15 reps
Dumbbell Bench for max set of 11 reps

Break"
2023-12-17,off,[],"Workout for 2023-12-17:

50 Sit ups

Off Day

50 Squats"
2023-12-16,run,['run'],"Workout for 2023-12-16:

50 Push ups

Short distance sprints or Bike if weather is unsuitable

Break"
2023-12-15,gym,['cf'],"Workout for 2023-12-15:

50 Squats

Hang pull ups
Friday 2023-12-15 Crossfit Workout

50 Squats"
2023-12-14,run,['run'],"Workout for 2023-12-14:

50 Squats

Long distance run or Treadmill if weather is unsuitable

50 Sit ups"
2023-12-13,off,[],"Workout for 2023-12-13:

Break

Off Day

50 Squats"
2023-12-12,run/gym,"['machine', 'weights']","Workout for 2023-12-12:

Break

Endurance Treadmill

Deadlift for max set of 13 reps
Dumbbell Bench for max set of 10 reps

50 Sit ups"
2023-12-11,gym,['cf'],"Workout for 2023-12-11:

Break

Hang pull ups
Sunday 2023-12-10 Crossfit Workout

50 Squats"
2023-12-10,off,[],"Workout for 2023-12-10:

50 Squats

Off Day

Break"
2023-12-09,run,['run'],"Workout for 2023-12-09:

50 Push ups

Long distance run or Bike if weather is unsuitable

50 Sit ups"
2023-12-08,gym,['weights'],"Workout for 2023-12-08:

Break

Back Squat for max set of 5 reps
Bench for max set of 10 reps

50 Sit ups"
2023-12-07,run,['run'],"Workout for 2023-12-07:

50 Push ups

Short distance sprints or Bike if weather is unsuitable

50 Sit ups"
2023-12-06,off,[],"Workout for 2023-12-06:

50 Squats

Off Day

Break"
2023-12-05,gym/run,"['abs', 'weights', 'run']","Workout for 2023-12-05:

50 Push ups

Ab workout
Clean for max set of 1 reps
Dumbbell Overhead Press for max set of 15 reps (if time persists)

Very long distance run or Bike if weather is unsuitable

Break"
2023-12-04,gym,['weights'],"Workout for 2023-12-04:

50 Push ups

Clean for max set of 5 reps
Row for max set of 1 reps

50 Sit ups"
2023-12-03,off,[],"Workout for 2023-12-03:

50 Sit ups

Off Day

50 Squats"
2023-12-02,run,['run'],"Workout for 2023-12-02:

50 Sit ups

Long distance run or Bike if weather is unsuitable

50 Squats"
2023-12-01,gym,['cf'],"Workout for 2023-12-01:

50 Push ups

Quinn's workout

50 Squats"
2023-11-30,run,['run'],"Workout for 2023-11-30:

50 Squats

Long distance run or Treadmill if weather is unsuitable

50 Squats"
2023-11-29,off,[],"Workout for 2023-11-29:

Break

Off Day

Break"
2023-11-28,run/gym,"['machine', 'weights']","Workout for 2023-11-28:

50 Push ups

Intermediate Treadmill

Hold plank as long as possible
Snatch for max set of 12 reps (if time persists)

50 Squats"
2023-11-27,gym,['cf'],"Workout for 2023-11-27:

50 Sit ups

Hang pull ups
Quinn's workout

Break"
2023-11-26,off,[],"Workout for 2023-11-26:

Break

Off Day

Break"
2023-11-25,run,['run'],"Workout for 2023-11-25:

Break

Very long distance run or Treadmill if weather is unsuitable

50 Squats"
2023-11-24,gym,['weights'],"Workout for 2023-11-24:

Break

Dumbbell Overhead Press for max set of 15 reps
Clean for max set of 1 reps

Break"
2023-11-23,run,['run'],"Workout for 2023-11-23:

50 Squats

Long distance run or Bike if weather is unsuitable

Break"
2023-11-22,off,[],"Workout for 2023-11-22:

50 Squats

Off Day

50 Sit ups"
2023-11-21,gym/run,"['abs', 'weights', 'run']","Workout for 2023-11-21:

50 Push ups

Hold plank as long as possible
Ab workout
Quinn's workout (if time persists)

Short distance sprints or Treadmill if weather is unsuitable

50 Sit ups"
2023-11-20,gym,['weights'],"Workout for 2023-11-20:

50 Squats

Hang pull ups
Overhead Squat for max set of 10 reps
Dumbbell Overhead Press for max set of 20 reps (if time persists)

50 Push ups"
2023-11-19,off,[],"Workout for 2023-11-19:

50 Squats

Off Day

50 Squats"
2023-11-18,run,['run'],"Workout for 2023-11-18:

50 Push ups

Long distance run or Bike if weather is unsuitable

50 Squats"
2023-11-17,gym,['cf'],"Workout for 2023-11-17:

Break

Quinn's workout

50 Sit ups"
2023-11-16,run,['run'],"Workout for 2023-11-16:

50 Squats

Long distance run or Bike if weather is unsuitable

Break"
2023-11-15,off,[],"Workout for 2023-11-15:

50 Push ups

Off Day

50 Squats"
2023-11-14,run/gym,"['machine', 'weights']","Workout for 2023-11-14:

50 Sit ups

Endurance Treadmill

Hang pull ups
Dumbbell Bench for max set of 5 reps (if time persists)

50 Squats"
2023-11-13,gym,['cf'],"Workout for 2023-11-13:

50 Push ups

Hold plank as long as possible
Quinn's workout

Break"
2023-11-12,off,[],"Workout for 2023-11-12:

50 Push ups

Off Day

50 Sit ups"
2023-11-11,run,['run'],"Workout for 2023-11-11:

50 Sit ups

Long distance run or Treadmill if weather is unsuitable

Break"
2023-11-10,gym,['weights'],"Workout for 2023-11-10:

50 Sit ups

Hold plank as long as possible
Dumbbell Overhead Press for max set of 10 reps
Back Squat for max set of 15 reps (if time persists)

Break"
2023-11-09,run,['run'],"Workout for 2023-11-09:

50 Squats

Long distance run or Row if weather is unsuitable

50 Sit ups"
2023-11-08,off,[],"Workout for 2023-11-08:

50 Sit ups

Off Day

50 Squats"
2023-11-07,gym/run,"['abs', 'weights', 'run']","Workout for 2023-11-07:

Break

Hang pull ups
Ab workout
Endurance Jacob's Ladder (if time persists)

Long distance run or Treadmill if weather is unsuitable

50 Sit ups"
2023-11-06,gym,['weights'],"Workout for 2023-11-06:

50 Squats

Hold plank as long as possible
Hang pull ups
Intermediate Jacob's Ladder (if time persists)

Break"
2023-11-05,off,[],"Workout for 2023-11-05:

Break

Off Day

50 Squats"
2023-11-04,run,['run'],"Workout for 2023-11-04:

50 Push ups

Short distance sprints or Treadmill if weather is unsuitable

50 Squats"
2023-11-03,gym,['cf'],"Workout for 2023-11-03:

50 Squats

Quinn's workout

50 Sit ups"
2023-11-02,run,['run'],"Workout for 2023-11-02:

Break

Short distance sprints or Treadmill if weather is unsuitable

50 Push ups"
2023-11-01,off,[],"Workout for 2023-11-01:

50 Squats

Off Day

Break"
2023-10-31,run/gym,"['machine', 'weights']","Workout for 2023-10-31:

50 Squats

Intermediate Stairmaster

Bench for max set of 5 reps
Deadlift for max set of 10 reps

50 Squats"
2023-10-30,gym,['cf'],"Workout for 2023-10-30:

50 Push ups

Tuesday 2023-10-24 Crossfit Workout

50 Sit ups"
2023-10-29,off,[],"Workout for 2023-10-29:

50 Squats

Off Day

50 Sit ups"
2023-10-28,run,['run'],"Workout for 2023-10-28:

50 Squats

Short distance sprints or Ski machine if weather is unsuitable

Break"
2023-10-27,gym,['weights'],"Workout for 2023-10-27:

50 Push ups

Back Squat for max set of 15 reps
Row for max set of 15 reps

50 Sit ups"
2023-10-26,run,['run'],"Workout for 2023-10-26:

50 Sit ups

Long distance run or Treadmill if weather is unsuitable

50 Push ups"
2023-10-25,off,[],"Workout for 2023-10-25:

Break

Off Day

50 Sit ups"
2023-10-24,gym/run,"['abs', 'weights', 'run']","Workout for 2023-10-24:

50 Push ups

Hang pull ups
Ab workout
Deadlift for max set of 1 reps
Clean for max set of 5 reps (if time persists)

Intermediate distance sprints or Endurance Bike if weather is unsuitable

50 Squats"
2023-10-23,gym,['weights'],"Workout for 2023-10-23:

Break

Front Squat for max set of 15 reps

Break"
2023-10-22,off,[],"Workout for 2023-10-22:

50 Sit ups

Off Day

50 Sit ups"
2023-10-21,run,['run'],"Workout for 2023-10-21:

50 Push ups

Long distance run or Short spurts Jacob's Ladder if weather is unsuitable

50 Push ups"
2023-10-20,gym,['cf'],"Workout for 2023-10-20:

Break

Wednesday 2023-10-18 Crossfit Workout

Break"
2023-10-19,run,['run'],"Workout for 2023-10-19:

Break

Long distance run or Endurance Stairmaster if weather is unsuitable

50 Push ups"
2023-10-18,off,[],"Workout for 2023-10-18:

50 Squats

Off Day

Break"
2023-10-17,run/gym,"['plank', 'machine', 'weights']","Workout for 2023-10-17:

50 Sit ups

Endurance Treadmill

Dumbbell Overhead Press for max set of 5 reps
Front Squat for max set of 5 reps

Break"
2023-10-16,gym,['cf'],"Workout for 2023-10-16:

50 Squats

Hang pull ups
Tuesday 2023-10-10 Crossfit Workout

50 Sit ups"
2023-10-15,off,[],"Workout for 2023-10-15:

50 Push ups

Off Day

Break"
2023-10-14,run,['run'],"Workout for 2023-10-14:

50 Squats

Long distance run or Short spurts Treadmill if weather is unsuitable

50 Sit ups"
2023-10-13,gym,['weights'],"Workout for 2023-10-13:

50 Squats

Back Squat for max set of 10 reps

50 Push ups"
2023-10-12,run,['run'],"Workout for 2023-10-12:

50 Squats

Long distance run or Short spurts Treadmill if weather is unsuitable

50 Push ups"
2023-10-11,off,[],"Workout for 2023-10-11:

50 Squats

Off Day

50 Squats"
2023-10-10,gym/run,"['abs', 'weights', 'run']","Workout for 2023-10-10:

50 Squats

Ab workout
Back Squat for max set of 10 reps
Dumbbell Overhead Press for max set of 10 reps (if time persists)

Long distance run or Intermediate Bike if weather is unsuitable

50 Sit ups"
2023-10-09,gym,['weights'],"Workout for 2023-10-09:

50 Squats

Back Squat for max set of 1 reps
Dumbbell Row for max set of 10 reps

50 Sit ups"
2023-10-08,off,[],"Workout for 2023-10-08:

50 Squats

Off Day

50 Sit ups"
2023-10-07,run,['run'],"Workout for 2023-10-07:

50 Push ups

Short distance sprints or Intermediate Bike if weather is unsuitable

50 Squats"
2023-10-06,gym,['cf'],"Workout for 2023-10-06:

50 Sit ups

Monday 2023-10-02 Crossfit Workout

50 Squats"
2023-10-05,run,['run'],"Workout for 2023-10-05:

50 Squats

Intermediate distance sprints or Short spurts Bike if weather is unsuitable

50 Squats"
2023-10-04,off,[],"Workout for 2023-10-04:

50 Squats

Off Day

50 Push ups"
2023-10-03,run/gym,"['plank', 'machine', 'weights']","Workout for 2023-10-03:

short spurtsSki machine

Hold plank as long as possible
Dumbbell Overhead Press for max set of 5 reps
Clean for max set of 1 reps (if time persists)
"
2023-10-02,gym,['cf'],"Workout for 2023-10-02:

Monday 2023-10-02 Crossfit Workout
"
2023-10-01,off,[],"Workout for 2023-10-01:

Off Day"
2023-09-30,run,['run'],"Workout for 2023-09-30:

Short distance sprints or endurance Bike if weather is unsuitable
"
2023-09-29,gym,['weights'],"Workout for 2023-09-29:

Snatch for max set of 10 reps
Back Squat for max set of 15 reps
"
2023-09-28,run,['run'],"Workout for 2023-09-28:

Short distance sprints or endurance Bike if weather is unsuitable
"
2023-09-27,off,[],"Workout for 2023-09-27:

Off Day"
2023-09-26,gym/run,"['abs', 'weights', 'run']","Workout for 2023-09-26:

Ab workout
Bench for max set of 10 reps
Clean for max set of 6 reps (if time persists)

Long distance run or endurance Bike if weather is unsuitable
"
2023-09-25,gym,['weights'],"Workout for 2023-09-25:

Front Squat for max set of 7 reps
Dumbbell Overhead Press for max set of 20 reps
"
2023-09-24,off,[],"Workout for 2023-09-24:

Off Day"
2023-09-23,run,['run'],"Workout for 2023-09-23:

Long distance run or short spurts Jacob's Ladder if weather is unsuitable
"
2023-09-22,gym,['cf'],"Workout for 2023-09-22:

Monday 2023-09-18 Crossfit Workout
"
2023-09-21,run,['run'],"Workout for 2023-09-21:

Long distance run or Bike if weather is unsuitable
"
2023-09-20,off,[],"Workout for 2023-09-20:

Off Day"
2023-09-19,run/gym,"['plank', 'machine', 'weights']","Workout for 2023-09-19:

Row

Hold plank as long as possible
Front Squat for max set of 10 reps
Overhead Squat for max set of 1 reps (if time persists)
"
2023-09-18,gym,['cf'],"Workout for 2023-09-18:

Monday 2023-09-18 Crossfit Workout
"
2023-09-17,off,[],"Workout for 2023-09-17:

Off Day"
2023-09-16,run,['run'],"Workout for 2023-09-16:

Long distance run or Bike if weather is unsuitable
"
2023-09-15,gym,['weights'],"Workout for 2023-09-15:

Deadlift for max set of 1 reps
Back Squat for max set of 8 reps
"
2023-09-14,run,['run'],"Workout for 2023-09-14:

Long distance run or Bike if weather is unsuitable
"
2023-09-13,off,[],"Workout for 2023-09-13:

Off Day"
2023-09-12,gym/run,"['abs', 'weights', 'run']","Workout for 2023-09-12:

Ab workout
Clean for max set of 5 reps
Bench for max set of 5 reps (if time persists)

Long distance run or Bike if weather is unsuitable
"
2023-09-11,gym,['weights'],"Workout for 2023-09-11:

Overhead Press for max set of 10 reps
Bench for max set of 15 reps
"
2023-09-10,off,[],"Workout for 2023-09-10:

Off Day"
2023-09-09,run,['run'],"Workout for 2023-09-09:

Long distance run or Stairmaster if weather is unsuitable
"
2023-09-08,gym,['cf'],"Workout for 2023-09-08:

Saturday 2023-09-02 Crossfit Workout
"
2023-09-07,run,['run'],"Workout for 2023-09-07:

Long distance run or Bike if weather is unsuitable
"
2023-09-06,off,[],"Workout for 2023-09-06:

Off Day"
2023-09-05,run/gym,"['plank', 'machine', 'weights']","Workout for 2023-09-05:

Ski machine

Hold plank as long as possible
Clean for max set of 4 reps
Back Squat for max set of 13 reps (if time persists)
"
2023-09-04,gym,['cf'],"Workout for 2023-09-04:

Friday 2023-09-01 Crossfit Workout
"
2023-09-03,off,[],"Workout for 2023-09-03:

Off Day"
2023-09-02,run,['run'],"Workout for 2023-09-02:

Long distance run or Treadmill if weather is unsuitable
"
2023-09-01,gym,['weights'],"Workout for 2023-09-01:

Front Squat for max set of 15 reps
Back Squat for max set of 1 reps
"
2023-08-31,off,[],"Workout for 2023-08-31:

Off Day"
2023-08-30,run,['run'],"Workout for 2023-08-30:

Long distance run or Bike if weather is unsuitable
"
2023-08-29,gym,['weights'],"Workout for 2023-08-29:

Back Squat for max set of 10 reps
Overhead Squat for max set of 3 reps
"
2023-08-28,off,[],"Workout for 2023-08-28:

Off Day"
2023-08-27,run/gym,"['machine', 'abs', 'weights']","Workout for 2023-08-27:

Stairmaster

Ab workout
Treadmill (if time persists)
"
2023-08-26,run,['run'],"Workout for 2023-08-26:

Long distance run or Treadmill if weather is unsuitable
"
2023-08-25,gym,['weights'],"Workout for 2023-08-25:

Clean for max set of 5 reps
Back Squat for max set of 1 reps
"
2023-08-24,off,[],"Workout for 2023-08-24:

Off Day"
2023-08-23,run,['run'],"Workout for 2023-08-23:

Long distance run or Treadmill if weather is unsuitable
"
2023-08-22,gym,"['plank', 'weights']","Workout for 2023-08-22:

Hold plank as long as possible
Clean for max set of 8 reps
Back Squat for max set of 5 reps (if time persists)
"
2023-08-21,off,[],"Workout for 2023-08-21:

Off Day"
2023-08-20,gym/run,"['cf', 'run']","Workout for 2023-08-20:

Monday 2023-08-14 Crossfit Workout

run"
2023-08-19,run,['run'],"Workout for 2023-08-19:

run"
2023-08-18,gym,['cf'],"Workout for 2023-08-18:

Friday 2023-08-18 Crossfit Workout
"
2023-08-17,off,[],"Workout for 2023-08-17:

Off Day"
2023-08-16,run,['run'],"Workout for 2023-08-16:

run"
2023-08-15,gym,['weights'],"Workout for 2023-08-15:

Dumbbell Overhead Press for max set of 20 reps
Snatch for max set of 14 reps
"
2023-08-14,off,[],"Workout for 2023-08-14:

Off Day"
2023-08-13,run/gym,"['machine', 'abs', 'weights']","Workout for 2023-08-13:

Ski machine

Ab workout
Wednesday 2023-08-13 Crossfit Workout (if time persists)
"
2023-08-12,run,['run'],"Workout for 2023-08-12:

run"
2023-08-11,gym,['weights'],"Workout for 2023-08-11:

Dumbbell Overhead Press for max set of 10 reps
Clean for max set of 1 reps
"
2023-08-10,off,[],"Workout for 2023-08-10:

Off Day"
2023-08-09,run,['run'],"Workout for 2023-08-09:

run"
2023-08-08,gym,"['plank', 'weights']","Workout for 2023-08-08:

Hold plank as long as possible
Dumbbell Overhead Press for max set of 20 reps
Back Squat for max set of 2 reps (if time persists)
"
2023-08-07,off,[],"Workout for 2023-08-07:

Off Day"
2023-08-06,gym/run,"['cf', 'run']","Workout for 2023-08-06:

Friday 2023-08-04 Crossfit Workout

run"
2023-08-05,run,['run'],"Workout for 2023-08-05:

run"
2023-08-04,gym,['cf'],"Workout for 2023-08-04:

Monday 2023-07-31 Crossfit Workout
"
2023-08-03,off,[],"Workout for 2023-08-03:

Off Day"
2023-08-02,run,['run'],"Workout for 2023-08-02:

run"
2023-08-01,gym,['weights'],"Workout for 2023-08-01:

Deadlift for max set of 5 reps
Snatch for max set of 15 reps
"
2023-07-31,off,[],"Workout for 2023-07-31:

Off Day"
2023-07-30,run/gym,"['abs', 'weights', 'machine']","Workout for 2023-07-30:

Bike

Ab workout
Dumbbell Bench for max set of 10 reps
Deadlift for max set of 8 reps (if time persists) "
